mutated_entity,clone1,clone2,clone3
ENSG00000010292,0,0,1
ENSG00000062822,0,0,1
ENSG00000081248,0,0,1
ENSG00000081479,0,0,1
ENSG00000090006,0,1,1
ENSG00000091583,0,0,1
ENSG00000102287,0,0,1
ENSG00000108557,0,0,1
ENSG00000109182,0,0,1
ENSG00000116016,0,0,1
ENSG00000129221,0,0,1
ENSG00000131016,0,0,1
ENSG00000132837,0,0,1
ENSG00000139620,0,0,1
ENSG00000144229,0,0,1
ENSG00000153820,0,0,1
ENSG00000154767,0,0,1
ENSG00000163939,0,1,1
ENSG00000164946,0,1,0
ENSG00000173124,0,0,1
ENSG00000177311,0,0,1
ENSG00000181143,0,0,1
ENSG00000186431,0,0,1
ENSG00000206384,0,0,1
